player,total_runs,balls_faced,innings,dismissals,strike_rate,batting_avg,recent_strike_rate,ball_bowled,runs_conceded,matches,wickets,economy,bowling_avg,recent_economy
Azmatullah Omarzai,99.0,77.0,9.0,8.0,128.57142857142858,12.375,106.1818181818182,300.0,476.0,15.0,12.0,9.52,39.666666666666664,10.3
B Akhil,76.0,57.0,11.0,7.0,133.33333333333331,10.857142857142858,98.03174603174602,193.0,246.0,13.0,6.0,7.647668393782384,41.0,7.933333333333334
B Chipli,280.0,256.0,21.0,16.0,109.375,17.5,78.47609219126247,6.0,20.0,1.0,0.0,20.0,31.396128841607563,20.0
B Geeves,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,49.0,91.0,2.0,1.0,11.142857142857144,91.0,11.375
B Kumar,320.0,364.0,71.0,37.0,87.91208791208791,8.64864864864865,63.97435897435897,4378.0,5541.0,190.0,198.0,7.59387848332572,27.984848484848484,10.4
B Laughlin,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,179.0,284.0,9.0,10.0,9.5195530726257,28.4,10.142857142857142
B Lee,124.0,102.0,19.0,10.0,121.56862745098039,12.4,187.66666666666669,916.0,1126.0,38.0,25.0,7.3755458515283845,45.04,8.966666666666667
B Sai Sudharsan,1793.0,1279.0,40.0,34.0,140.1876465989054,52.73529411764706,138.87792536369386,,,,0.0,8.529553786998122,31.396128841607563,9.1
B Stanlake,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,150.0,200.0,6.0,7.0,8.0,28.571428571428573,8.333333333333334
BA Bhatt,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,303.0,408.0,15.0,12.0,8.07920792079208,34.0,8.366666666666667
BA Stokes,935.0,718.0,43.0,41.0,130.22284122562675,22.804878048780488,98.5079365079365,723.0,1023.0,38.0,28.0,8.489626556016598,36.535714285714285,11.2
BAW Mendis,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,248.0,306.0,10.0,8.0,7.403225806451612,38.25,7.2
BB McCullum,2882.0,2272.0,109.0,106.0,126.84859154929578,27.18867924528302,100.80689655172414,,,,0.0,8.529553786998122,31.396128841607563,9.1
BB Samantray,125.0,116.0,8.0,5.0,107.75862068965519,25.0,116.25,,,,0.0,8.529553786998122,31.396128841607563,9.1
BB Sran,10.0,14.0,7.0,1.0,71.42857142857143,10.0,68.0,516.0,767.0,24.0,18.0,8.918604651162791,42.611111111111114,11.3
BCJ Cutting,238.0,146.0,17.0,11.0,163.013698630137,21.636363636363637,102.31746031746032,288.0,430.0,17.0,10.0,8.958333333333334,43.0,10.1
BE Hendricks,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,157.0,239.0,7.0,9.0,9.13375796178344,26.555555555555557,9.56
